mode,rep,order,fg_workers,bg_workers,elapsed_ms,ctx_delta,fg_exit_rc,verify_rc,owned_all,throttle_effective,fg_accepted,fg_dispatched,fg_running,bg_run_accepted,bg_run_dispatched,bg_run_running,bg_effective_after,bg_cpu_ticks,throttle_acc,throttle_def,deferred_rel,pkg_throttle_delta,temp_before_mC,temp_after_mC,state_after
orchestra,1,orchestra-first,4,8,1128,5528,0,0,yes,yes,6,6,6,8,8,8,0,92,56,24,16,14,61000,72000,disabled
cfs,1,orchestra-first,4,8,3801,21041,0,0,n/a,n/a,0,0,0,0,0,0,0,2911,0,0,0,576,55000,66000,disabled
cfs,2,cfs-first,4,8,7198,32243,0,0,n/a,n/a,0,0,0,0,0,0,0,4488,0,0,0,11,58000,61000,disabled
orchestra,2,cfs-first,4,8,1979,8911,0,0,yes,yes,4,4,4,10,10,10,0,112,80,32,24,0,58000,64000,disabled
orchestra,3,orchestra-first,4,8,1861,10627,0,0,yes,yes,7,7,7,11,11,11,0,116,80,32,24,0,57000,67000,disabled
cfs,3,orchestra-first,4,8,8702,43693,0,0,n/a,n/a,0,0,0,0,0,0,0,5330,0,0,0,24,58000,67000,disabled
cfs,4,cfs-first,4,8,9204,46523,0,0,n/a,n/a,0,0,0,0,0,0,0,5445,0,0,0,8,58000,63000,disabled
orchestra,4,cfs-first,4,8,1860,9810,0,0,yes,yes,6,6,6,9,9,9,0,112,80,32,24,0,58000,68000,disabled
orchestra,5,orchestra-first,4,8,1857,10367,0,0,yes,yes,6,6,6,11,11,11,0,123,80,32,24,0,58000,64000,disabled
cfs,5,orchestra-first,4,8,8334,43592,0,0,n/a,n/a,0,0,0,0,0,0,0,5000,0,0,0,23,59000,65000,disabled
cfs,6,cfs-first,4,8,9505,48505,0,0,n/a,n/a,0,0,0,0,0,0,0,5362,0,0,0,0,66000,65000,disabled
orchestra,6,cfs-first,4,8,2487,14944,0,0,yes,yes,4,4,4,11,11,11,0,109,80,32,24,0,60000,65000,disabled
orchestra,7,orchestra-first,4,8,2025,10768,0,0,yes,yes,6,6,6,10,10,10,0,121,80,32,24,0,59000,67000,disabled
cfs,7,orchestra-first,4,8,7861,36962,0,0,n/a,n/a,0,0,0,0,0,0,0,4956,0,0,0,0,59000,64000,disabled
cfs,8,cfs-first,4,8,7546,34417,0,0,n/a,n/a,0,0,0,0,0,0,0,4683,0,0,0,0,60000,66000,disabled
orchestra,8,cfs-first,4,8,2320,13029,0,0,yes,yes,7,7,7,13,13,13,0,125,80,32,24,0,59000,66000,disabled
orchestra,9,orchestra-first,4,8,2484,14187,0,0,yes,yes,5,5,5,10,10,10,0,107,80,32,24,0,58000,67000,disabled
cfs,9,orchestra-first,4,8,9264,43324,0,0,n/a,n/a,0,0,0,0,0,0,0,5685,0,0,0,1,65000,64000,disabled
cfs,10,cfs-first,4,8,7905,38469,0,0,n/a,n/a,0,0,0,0,0,0,0,4924,0,0,0,0,62000,68000,disabled
orchestra,10,cfs-first,4,8,2081,10962,0,0,yes,yes,4,4,4,8,8,8,0,106,80,32,24,0,66000,67000,disabled
orchestra,11,orchestra-first,4,8,2180,11299,0,0,yes,yes,4,4,4,10,10,10,0,113,80,32,24,0,58000,67000,disabled
cfs,11,orchestra-first,4,8,7808,41401,0,0,n/a,n/a,0,0,0,0,0,0,0,4588,0,0,0,9,62000,65000,disabled
cfs,12,cfs-first,4,8,7750,35676,0,0,n/a,n/a,0,0,0,0,0,0,0,4850,0,0,0,2,62000,64000,disabled
orchestra,12,cfs-first,4,8,2205,11931,0,0,yes,yes,5,5,5,12,12,12,0,113,80,32,24,0,61000,65000,disabled
orchestra,13,orchestra-first,4,8,1742,9862,0,0,yes,yes,6,6,6,9,9,9,0,115,80,32,24,0,62000,68000,disabled
cfs,13,orchestra-first,4,8,7948,41251,0,0,n/a,n/a,0,0,0,0,0,0,0,4778,0,0,0,29,59000,67000,disabled
cfs,14,cfs-first,4,8,8780,43655,0,0,n/a,n/a,0,0,0,0,0,0,0,5337,0,0,0,13,62000,68000,disabled
orchestra,14,cfs-first,4,8,2039,10846,0,0,yes,yes,6,6,6,11,11,11,0,118,80,32,24,0,61000,65000,disabled
orchestra,15,orchestra-first,4,8,2194,12397,0,0,yes,yes,6,6,6,11,11,11,0,111,80,32,24,0,60000,67000,disabled
cfs,15,orchestra-first,4,8,7674,36142,0,0,n/a,n/a,0,0,0,0,0,0,0,4612,0,0,0,0,67000,67000,disabled
cfs,16,cfs-first,4,8,8347,42355,0,0,n/a,n/a,0,0,0,0,0,0,0,5023,0,0,0,16,61000,66000,disabled
orchestra,16,cfs-first,4,8,1964,11464,0,0,yes,yes,7,7,7,12,12,12,0,116,80,32,24,0,67000,65000,disabled
orchestra,17,orchestra-first,4,8,2308,13829,0,0,yes,yes,5,5,5,11,11,11,0,117,80,32,24,0,60000,64000,disabled
cfs,17,orchestra-first,4,8,8536,38398,0,0,n/a,n/a,0,0,0,0,0,0,0,5292,0,0,0,0,84000,67000,disabled
cfs,18,cfs-first,4,8,8622,41006,0,0,n/a,n/a,0,0,0,0,0,0,0,4988,0,0,0,0,63000,67000,disabled
orchestra,18,cfs-first,4,8,1903,10030,0,0,yes,yes,8,8,8,10,10,10,0,111,80,32,24,0,67000,70000,disabled
orchestra,19,orchestra-first,4,8,2127,11087,0,0,yes,yes,7,7,7,10,10,10,0,106,80,32,24,0,60000,65000,disabled
cfs,19,orchestra-first,4,8,6810,33486,0,0,n/a,n/a,0,0,0,0,0,0,0,4197,0,0,0,21,62000,65000,disabled
cfs,20,cfs-first,4,8,8161,37592,0,0,n/a,n/a,0,0,0,0,0,0,0,5008,0,0,0,0,62000,64000,disabled
orchestra,20,cfs-first,4,8,1988,10817,0,0,yes,yes,6,6,5,9,9,9,0,113,80,32,24,0,63000,68000,disabled
