run_id,publication_mode,readers,repetition,seed,publisher_attempts_per_sec,publisher_successes_per_sec,publisher_mean_latency_ns,publisher_max_latency_ns,publisher_success_fraction,publisher_contention_fraction,publisher_contention_count,publisher_generation_exhaustion_count,reader_api_calls_per_aggregate_thread_sec,reader_valid_reads_per_aggregate_thread_sec,reader_api_mean_latency_ns,reader_api_max_latency_ns,reader_snapshot_copy_success_fraction,reader_snapshot_copy_empty_fraction,reader_snapshot_copy_unstable_fraction,reader_snapshot_copy_mean_latency_ns,reader_snapshot_copy_max_latency_ns,reader_verified_frame_mean_latency_ns,reader_verified_frame_max_latency_ns,reader_valid_fraction,reader_retry_fraction,reader_unstable_fraction,reader_retry_exhaustion_count,reader_unstable_slot_observation_count,reader_invalid_frame_count,reader_hmac_failure_count,reader_invalid_fields_count,reader_invalid_schema_count,reader_invalid_tier_count,reader_invalid_source_count,reader_invalid_directive_count,reader_invalid_sequence_count,reader_stale_frame_count,reader_invalid_key_epoch_count
rep_01_readers_1_legacy,legacy,1,1,20261829,235098.29459697098,235098.29459697098,4152.905,12553,1.0,0.0,0,0,231563.02694679686,230858.47412647193,4142.013184584179,11340,0.9594320486815415,0.0,0.04056795131845842,113.40063424947147,348,4154.162767039675,11340,0.9969574036511156,0.02636916835699797,0.0,0,26,0,0,0,0,0,0,0,0,0,0
rep_01_readers_1_generation_stamped,generation_stamped,1,1,20261829,233836.62770168993,233836.62770168993,4187.936,18243,1.0,0.0,0,0,223099.789548755,219599.269838262,4155.869246861925,17881,1.0,0.0,0.0,255.60774058577405,14107,4217.676939426143,17881,0.9843096234309623,0.010460251046025104,0.0,0,10,0,0,0,0,0,0,0,0,0,0
rep_01_readers_2_legacy,legacy,2,1,20261830,234173.72036941373,234173.72036941373,4179.231,12232,1.0,0.0,0,0,228568.9165681365,227867.42628710897,4190.893606138107,14134,0.9974424552429667,0.0,0.0025575447570332483,102.02717948717948,395,4203.307850179579,14134,0.9969309462915601,0.04552429667519182,0.0,0,89,0,0,0,0,0,0,0,0,0,0
rep_01_readers_2_generation_stamped,generation_stamped,2,1,20261830,232139.04757527282,232139.04757527282,4221.357,12733,1.0,0.0,0,0,213613.4718123521,209672.6915401763,4329.657623440044,12847,1.0,0.0,0.0,261.64026044492675,572,4405.321724709785,12847,0.9815518176885513,0.015192620727075421,0.0,0,28,0,0,0,0,0,0,0,0,0,0
rep_01_readers_4_legacy,legacy,4,1,20261832,127438.79624371599,127438.79624371599,7741.059,15925,1.0,0.0,0,0,1170824.5385137096,127463.53767663322,707.2627042605835,16727,0.943473177628538,0.0,0.05652682237146198,82.70025936599424,528,5278.489010989011,16727,0.10886647271540825,0.14198319693303244,0.00040784143125152943,15,5222,0,0,0,0,0,0,0,0,0,0
rep_01_readers_4_generation_stamped,generation_stamped,4,1,20261832,125322.0934454164,125322.0934454164,7840.937,12359,1.0,0.0,0,0,496688.8764285516,124015.75209717428,1639.0424017137098,16966,1.0,0.0,0.0,270.02734375,11555,5546.6232652031285,16966,0.2496849798387097,0.021799395161290324,0.0,0,346,0,0,0,0,0,0,0,0,0,0
rep_02_readers_1_legacy,legacy,1,2,20262829,233786.8252240087,233786.8252240087,4190.713,18743,1.0,0.0,0,0,220459.12012990273,219524.97131579297,4343.005296610169,55311,0.9957627118644068,0.0,0.00423728813559322,125.18723404255319,516,4360.853191489362,55311,0.9957627118644068,0.04978813559322034,0.0,0,47,0,0,0,0,0,0,0,0,0,0
rep_02_readers_1_generation_stamped,generation_stamped,1,2,20262829,233289.63818410144,233289.63818410144,4187.174,17041,1.0,0.0,0,0,219338.84008871348,218407.46497156395,4229.201698513801,17008,1.0,0.0,0.0,254.75265392781316,545,4246.158848614073,17008,0.9957537154989384,0.013800424628450107,0.0,0,13,0,0,0,0,0,0,0,0,0,0
rep_02_readers_2_legacy,legacy,2,2,20262830,232075.42265575973,232075.42265575973,4219.688,26849,1.0,0.0,0,0,226376.22269213785,214102.11547711655,4229.354987212276,32745,0.9918158567774936,0.0,0.008184143222506393,104.0732336255802,625,4462.652785289346,32745,0.9457800511508951,0.04143222506393862,0.0,0,81,0,0,0,0,0,0,0,0,0,0
rep_02_readers_2_generation_stamped,generation_stamped,2,2,20262830,231299.54725426622,231299.54725426622,4234.018,17656,1.0,0.0,0,0,211636.865757259,210944.48778858746,4357.6684841875685,21357,1.0,0.0,0.0,278.35114503816794,662,4370.88238512035,21357,0.9967284623773174,0.010905125408942203,0.0,0,20,0,0,0,0,0,0,0,0,0,0
rep_02_readers_4_legacy,legacy,4,2,20262832,123308.21134040959,123308.21134040959,7969.587,25832,1.0,0.0,0,0,1072197.980907396,122949.72249745483,774.2784737386507,65073,0.947247442822664,0.0,0.052752557177335936,86.72464207716574,9346,5550.157103482837,65073,0.1146707275025859,0.13719687392253763,0.0009481668773704172,33,4775,0,0,0,0,0,0,0,0,0,0
rep_02_readers_4_generation_stamped,generation_stamped,4,2,20262832,125304.52131292073,125304.52131292073,7849.534,17591,1.0,0.0,0,0,442886.94183327403,124124.76936688324,1877.130238145714,35651,1.0,0.0,0.0,283.9312416083669,9731,5812.326021180031,35651,0.28026287894848423,0.024379902480390077,0.0,0,345,0,0,0,0,0,0,0,0,0,0
