tick,mode,cpu_now,cpu_pred,decision_cpu,prediction_used,confidence,forecast_error,frame_age_ms,mem,thermal,directive,run,sleep,migrate,throttle,yield,eligible_workers,fallback_workers,S1,S2,S3,S4,Q,jitter_sigma,switch_penalty,consensus_blend,next_jitter_sigma,next_switch_penalty,next_consensus_blend,controller_updated,controller_step,controller_reason,controller_beta,jitter_saturated,switch_saturated,consensus_saturated,consensus_applied,rejected_frames,missed_deadlines,metrics_schema,S3_global,S3_conditioned,S2_selected,S2_effective,action_attempt_count,effective_action_success_count,action_error_count,migration_attempt_count,migration_valid_requested_cpu_count,migration_affinity_success_count,migration_observed_success_count,migration_observed_success_fraction,sleep_attempt_count,sleep_effective_success_count,sleep_effectiveness_fraction,requested_sleep_ns_total,observed_sleep_ns_total,yield_attempt_count,yield_call_success_count,yield_call_success_fraction,throttle_attempt_count,throttle_operation_success_count,throttle_operation_success_fraction,fallback_fraction,fallback_reason,S4_burst,change_fraction,dominant_transition_fraction,justified_change_fraction,oscillation_penalty,dominant_old_action,dominant_new_action,changed_eligible_workers,justified_changed_workers,dominant_transition_count,rolling_window_burst_count,rolling_window_oscillation_count,current_directive_valid,previous_directive_valid,directive_transition_valid,large_burst_event,repeated_oscillation_event,controller_state,previous_state,transition_reason,state_residence_time,valid_control_history_count,invalid_frame_fault_count,saturation_bitmask,saturation_direction,saturation_persistence,oscillation_score,oscillation_event,rollback_event,rollback_reason,recovery_progress,last_known_good_available,requested_jitter,applied_jitter,requested_switch,applied_switch,requested_consensus,applied_consensus,update_accepted,update_suppressed,suppression_reason,policy_mode,policy_schema_version,policy_generation,policy_update_allowed,policy_update_applied,policy_update_suppression_reason,policy_exploration_enabled,policy_train_update_count,policy_adapt_update_count,policy_load_status,policy_save_status,policy_digest_prefix,policy_format_version,coordination_semantics_version
1,baseline,0.11688312,0.13018182,0.11688312,0,1.00000000,0.00000000,49.71960000,0.49412307,0.19584416,SLEEP,0,4,0,0,0,4,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.06687452,0.00000000,0.00000000,0.06687452,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,1.00000000,4,4,0,0,0,0,0,1.00000000,4,4,1.00000000,140000000,140688658,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,0.20000000,1.00000000,1.00000000,0.00000000,0.00000000,3,1,4,0,4,1,0,1,0,0,1,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.06687452,0.06687452,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
2,baseline,0.17721519,0.16968985,0.17721519,0,1.00000000,0.00000000,50.01320400,0.49403381,0.19491271,SLEEP,0,4,0,0,0,4,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.06687452,0.00000000,0.00000000,0.06687452,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,0.00000000,0,0,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1,-1,0,0,0,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.06687452,0.06687452,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
3,baseline,0.11250000,0.12165038,0.11250000,0,1.00000000,0.00000000,49.90033900,0.49408244,0.19079207,SLEEP,0,4,0,0,0,4,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.06687452,0.00000000,0.00000000,0.06687452,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,0.00000000,0,0,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1,-1,0,0,0,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.06687452,0.06687452,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
4,baseline,0.10256410,0.10561791,0.10256410,0,1.00000000,0.00000000,49.79270400,0.49407469,0.18638067,SLEEP,0,4,0,0,0,4,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.06687452,0.00000000,0.00000000,0.06687452,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,1.00000000,4,4,0,0,0,0,0,1.00000000,4,4,1.00000000,140000000,140497255,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1,-1,0,0,0,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.06687452,0.06687452,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
5,baseline,0.14285714,0.13689887,0.14285714,0,1.00000000,0.00000000,49.43790400,0.49407469,0.18420450,SLEEP,0,4,0,0,0,4,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.06687452,0.00000000,0.00000000,0.06687452,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,1.00000000,4,4,0,0,0,0,0,1.00000000,4,4,1.00000000,140000000,140477165,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1,-1,0,0,0,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.06687452,0.06687452,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
6,baseline,0.14634146,0.14483065,0.14634146,0,1.00000000,0.00000000,49.54591200,0.49407469,0.18231135,SLEEP,0,4,0,0,0,4,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.06687452,0.00000000,0.00000000,0.06687452,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,0.00000000,0,0,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1,-1,0,0,0,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.06687452,0.06687452,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
7,baseline,0.15584416,0.15408199,0.15584416,0,1.00000000,0.00000000,49.86497900,0.49407469,0.18098799,SLEEP,0,4,0,0,0,4,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.06687452,0.00000000,0.00000000,0.06687452,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,0.00000000,0,0,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1,-1,0,0,0,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.06687452,0.06687452,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
8,baseline,0.07594937,0.08845059,0.07594937,0,1.00000000,0.00000000,49.85587800,0.49407469,0.17573606,SLEEP,0,4,0,0,0,4,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.06687452,0.00000000,0.00000000,0.06687452,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,1.00000000,4,4,0,0,0,0,0,1.00000000,4,4,1.00000000,140000000,140537681,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1,-1,0,0,0,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.06687452,0.06687452,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
9,baseline,0.14814815,0.13859654,0.14814815,0,1.00000000,0.00000000,49.84970400,0.49407469,0.17435666,SLEEP,0,4,0,0,0,4,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.06687452,0.00000000,0.00000000,0.06687452,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,0.75000000,3,3,0,0,0,0,0,1.00000000,3,3,1.00000000,105000000,105590240,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1,-1,0,0,0,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.06687452,0.06687452,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
10,baseline,0.08860759,0.09660583,0.08860759,0,1.00000000,0.00000000,49.74789500,0.49407469,0.17006921,SLEEP,0,4,0,0,0,4,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.06687452,0.00000000,0.00000000,0.06687452,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,0.00000000,0,0,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1,-1,0,0,0,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.06687452,0.06687452,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
