tick,mode,cpu_now,cpu_pred,decision_cpu,prediction_used,confidence,forecast_error,frame_age_ms,mem,thermal,directive,run,sleep,migrate,throttle,yield,eligible_workers,fallback_workers,S1,S2,S3,S4,Q,jitter_sigma,switch_penalty,consensus_blend,next_jitter_sigma,next_switch_penalty,next_consensus_blend,controller_updated,controller_step,controller_reason,controller_beta,jitter_saturated,switch_saturated,consensus_saturated,consensus_applied,rejected_frames,missed_deadlines,metrics_schema,S3_global,S3_conditioned,S2_selected,S2_effective,action_attempt_count,effective_action_success_count,action_error_count,migration_attempt_count,migration_valid_requested_cpu_count,migration_affinity_success_count,migration_observed_success_count,migration_observed_success_fraction,sleep_attempt_count,sleep_effective_success_count,sleep_effectiveness_fraction,requested_sleep_ns_total,observed_sleep_ns_total,yield_attempt_count,yield_call_success_count,yield_call_success_fraction,throttle_attempt_count,throttle_operation_success_count,throttle_operation_success_fraction,fallback_fraction,fallback_reason,S4_burst,change_fraction,dominant_transition_fraction,justified_change_fraction,oscillation_penalty,dominant_old_action,dominant_new_action,changed_eligible_workers,justified_changed_workers,dominant_transition_count,rolling_window_burst_count,rolling_window_oscillation_count,current_directive_valid,previous_directive_valid,directive_transition_valid,large_burst_event,repeated_oscillation_event,controller_state,previous_state,transition_reason,state_residence_time,valid_control_history_count,invalid_frame_fault_count,saturation_bitmask,saturation_direction,saturation_persistence,oscillation_score,oscillation_event,rollback_event,rollback_reason,recovery_progress,last_known_good_available,requested_jitter,applied_jitter,requested_switch,applied_switch,requested_consensus,applied_consensus,update_accepted,update_suppressed,suppression_reason,policy_mode,policy_schema_version,policy_generation,policy_update_allowed,policy_update_applied,policy_update_suppression_reason,policy_exploration_enabled,policy_train_update_count,policy_adapt_update_count,policy_load_status,policy_save_status,policy_digest_prefix,policy_format_version,coordination_semantics_version
1,orchestra,0.27160494,0.20593827,0.27160494,0,0.46164273,0.12160494,49.89243100,0.49422736,0.20358025,RUN,1,1,1,1,0,4,0,0.28382888,0.25000000,0.48804535,0.25000000,0.30503466,0.14670599,0.00000000,0.00000000,0.14670599,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.13864688,0.48804535,0.25000000,1.00000000,4,4,0,1,1,1,1,1.00000000,1,1,1.00000000,35000000,35099780,0,0,1.00000000,1,1,1.00000000,0.00000000,NONE,0.86666667,0.75000000,0.33333333,0.00000000,0.00000000,3,0,3,0,1,0,0,1,0,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.14670599,0.14670599,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
2,orchestra,0.30000000,0.24920667,0.24920667,1,0.62972684,0.09406173,49.91311800,0.49422589,0.20840123,RUN,1,1,0,1,1,4,0,0.43226518,0.25000000,0.48804535,0.00000000,0.00000000,0.14670599,0.00000000,0.00000000,0.14670599,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.13864688,0.48804535,0.25000000,0.75000000,3,3,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,1,1,1.00000000,1,1,1.00000000,0.00000000,NONE,0.80000000,1.00000000,0.25000000,0.00000000,0.00000000,0,4,4,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.14670599,0.14670599,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
3,orchestra,0.24358974,0.24662288,0.24662288,1,0.99835223,0.00561692,49.88020400,0.49422589,0.21016066,RUN,3,0,0,1,0,4,0,0.97617167,0.75000000,0.70338363,0.50000000,0.71234016,0.14670599,0.00000000,0.00000000,0.14670599,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.65060153,0.70338363,0.75000000,1.00000000,4,4,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,1,1,1.00000000,0.00000000,NONE,0.93333333,0.50000000,0.50000000,0.00000000,0.00000000,1,0,2,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.14670599,0.14670599,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
4,orchestra,0.37179487,0.30420200,0.37179487,0,0.44088290,0.12517199,49.90729500,0.49422589,0.21824237,RUN,2,1,0,1,0,4,0,0.26722510,0.50000000,0.35398516,0.75000000,0.43398367,0.14670599,0.00000000,0.00000000,0.14670599,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.35398516,0.50000000,1.00000000,4,4,0,0,0,0,0,1.00000000,1,1,1.00000000,35000000,35066777,0,0,1.00000000,1,1,1.00000000,0.00000000,NONE,1.00000000,0.25000000,1.00000000,0.00000000,0.00000000,0,1,1,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.14670599,0.14670599,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
5,orchestra,0.30769231,0.30580754,0.30580754,1,0.99936343,0.00349031,49.90421500,0.49428893,0.22271487,RUN,3,1,0,0,0,4,0,0.98550802,0.75000000,0.65060153,0.50000000,0.70024760,0.14670599,0.00000000,0.00000000,0.14670599,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.65060153,0.65060153,0.75000000,0.75000000,3,3,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,0.93333333,0.50000000,0.50000000,0.00000000,0.00000000,1,0,2,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.14670599,0.14670599,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
6,orchestra,0.38157895,0.34066239,0.34066239,1,0.74074335,0.07577141,49.86527100,0.49419006,0.23065807,RUN,1,1,0,1,1,4,0,0.54706552,0.25000000,0.56932344,0.25000000,0.37352494,0.14670599,0.00000000,0.00000000,0.14670599,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.13864688,0.56932344,0.25000000,1.00000000,4,4,0,0,0,0,0,1.00000000,1,1,1.00000000,35000000,35065794,1,1,1.00000000,1,1,1.00000000,0.00000000,NONE,0.86666667,0.75000000,0.33333333,0.00000000,0.00000000,0,1,3,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.14670599,0.14670599,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
7,orchestra,0.26506024,0.30588540,0.30588540,1,0.74173606,0.07560215,49.74908400,0.49418292,0.23237818,RUN,3,0,1,0,0,4,0,0.54816968,0.75000000,0.70338363,0.25000000,0.51853388,0.14670599,0.00000000,0.00000000,0.14670599,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.65060153,0.70338363,0.75000000,1.00000000,4,4,0,1,1,1,1,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,0.86666667,0.75000000,0.33333333,0.00000000,0.00000000,1,0,3,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.14670599,0.14670599,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
8,orchestra,0.43421053,0.36491496,0.43421053,0,0.42284214,0.12832513,49.85771400,0.49418489,0.24246980,RUN,4,0,0,0,0,4,0,0.25307817,1.00000000,1.00000000,0.75000000,0.66005327,0.14670599,0.00000000,0.00000000,0.14670599,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,1.00000000,4,4,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,1.00000000,0.25000000,1.00000000,0.00000000,0.00000000,2,0,1,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.14670599,0.14670599,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
9,orchestra,0.50000000,0.42705408,0.50000000,0,0.38526231,0.13508504,49.88650000,0.49418464,0.25534631,RUN,4,0,0,0,0,4,0,0.22443458,1.00000000,1.00000000,1.00000000,0.68829156,0.14670599,0.00000000,0.00000000,0.14670599,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,1.00000000,4,4,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1,-1,0,0,0,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.14670599,0.14670599,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
10,orchestra,0.52500000,0.47210920,0.47210920,1,0.60565048,0.09794592,49.90092200,0.49417688,0.26882899,RUN,4,0,0,0,0,4,0,0.40932905,1.00000000,1.00000000,1.00000000,0.79986767,0.14670599,0.00000000,0.00000000,0.14670599,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,1.00000000,4,4,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1,-1,0,0,0,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.14670599,0.14670599,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
