tick,mode,cpu_now,cpu_pred,decision_cpu,prediction_used,confidence,forecast_error,frame_age_ms,mem,thermal,directive,run,sleep,migrate,throttle,yield,eligible_workers,fallback_workers,S1,S2,S3,S4,Q,jitter_sigma,switch_penalty,consensus_blend,next_jitter_sigma,next_switch_penalty,next_consensus_blend,controller_updated,controller_step,controller_reason,controller_beta,jitter_saturated,switch_saturated,consensus_saturated,consensus_applied,rejected_frames,missed_deadlines,metrics_schema,S3_global,S3_conditioned,S2_selected,S2_effective,action_attempt_count,effective_action_success_count,action_error_count,migration_attempt_count,migration_valid_requested_cpu_count,migration_affinity_success_count,migration_observed_success_count,migration_observed_success_fraction,sleep_attempt_count,sleep_effective_success_count,sleep_effectiveness_fraction,requested_sleep_ns_total,observed_sleep_ns_total,yield_attempt_count,yield_call_success_count,yield_call_success_fraction,throttle_attempt_count,throttle_operation_success_count,throttle_operation_success_fraction,fallback_fraction,fallback_reason,S4_burst,change_fraction,dominant_transition_fraction,justified_change_fraction,oscillation_penalty,dominant_old_action,dominant_new_action,changed_eligible_workers,justified_changed_workers,dominant_transition_count,rolling_window_burst_count,rolling_window_oscillation_count,current_directive_valid,previous_directive_valid,directive_transition_valid,large_burst_event,repeated_oscillation_event,controller_state,previous_state,transition_reason,state_residence_time,valid_control_history_count,invalid_frame_fault_count,saturation_bitmask,saturation_direction,saturation_persistence,oscillation_score,oscillation_event,rollback_event,rollback_reason,recovery_progress,last_known_good_available,requested_jitter,applied_jitter,requested_switch,applied_switch,requested_consensus,applied_consensus,update_accepted,update_suppressed,suppression_reason,policy_mode,policy_schema_version,policy_generation,policy_update_allowed,policy_update_applied,policy_update_suppression_reason,policy_exploration_enabled,policy_train_update_count,policy_adapt_update_count,policy_load_status,policy_save_status,policy_digest_prefix,policy_format_version,coordination_semantics_version
1,orchestra,0.13924051,0.12870253,0.12870253,1,0.97365731,0.01424051,49.86803100,0.49437980,0.19696203,SLEEP,4,0,0,0,0,4,0,0.91974585,0.00000000,1.00000000,0.00000000,0.00000000,0.09244420,0.00000000,0.00000000,0.09244420,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,0.00000000,1.00000000,4,4,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,0.20000000,1.00000000,1.00000000,0.00000000,0.00000000,3,0,4,0,4,1,0,1,0,0,1,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.09244420,0.09244420,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
2,orchestra,0.43055556,0.20718432,0.43055556,0,0.00000618,0.30185302,49.90209600,0.49437980,0.20864170,RUN,0,1,1,2,0,4,0,0.00000185,0.00000000,0.35398516,0.00000000,0.00000000,0.09244420,0.00000000,0.00000000,0.09244420,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.35398516,0.00000000,1.00000000,4,4,0,1,1,1,1,1.00000000,1,1,1.00000000,35000000,35062665,0,0,1.00000000,2,2,1.00000000,0.00000000,NONE,0.60000000,1.00000000,0.50000000,0.00000000,0.00000000,0,3,4,0,2,0,0,1,1,1,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.09244420,0.09244420,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
3,orchestra,0.29268293,0.22941396,0.29268293,0,0.38201253,0.08549861,49.88697200,0.49437980,0.21284376,RUN,0,1,1,2,0,4,0,0.13475509,0.00000000,0.35398516,0.00000000,0.00000000,0.09244420,0.00000000,0.00000000,0.09244420,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,4,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.35398516,0.00000000,0.00000000,0,0,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,0.60000000,1.00000000,0.50000000,0.00000000,0.00000000,0,3,4,0,2,0,0,0,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.09244420,0.09244420,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
4,orchestra,0.16666667,0.21309966,0.21309966,1,0.59553070,0.06274729,49.90954800,0.49437980,0.21053491,RUN,1,0,1,0,2,4,0,0.46334123,0.25000000,0.48804535,0.00000000,0.00000000,0.09244420,0.00000000,0.00000000,0.09244420,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,4,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.48804535,0.25000000,1.00000000,4,4,0,1,1,1,1,1.00000000,0,0,1.00000000,0,0,2,2,1.00000000,0,0,1.00000000,0.00000000,NONE,0.80000000,1.00000000,0.25000000,0.00000000,0.00000000,1,4,4,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.09244420,0.09244420,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
5,orchestra,0.38554217,0.25793471,0.38554217,0,0.01994952,0.17244251,49.85596100,0.49437980,0.21928527,RUN,1,0,1,1,1,4,0,0.01000850,0.25000000,0.13864688,0.25000000,0.09650277,0.09244420,0.00000000,0.00000000,0.09244420,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,4,0,orchestra.paper_cpu.metrics/v7,0.13864688,0.13864688,0.25000000,1.00000000,4,4,0,1,1,1,1,1.00000000,0,0,1.00000000,0,0,1,1,1.00000000,1,1,1.00000000,0.00000000,NONE,0.86666667,0.75000000,0.33333333,0.00000000,0.00000000,2,4,3,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.09244420,0.09244420,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
6,orchestra,0.35802469,0.28395811,0.35802469,0,0.26745973,0.10008998,49.84109000,0.49437980,0.22622224,RUN,1,0,1,1,1,4,0,0.08899757,0.00000000,0.13864688,0.25000000,0.00000000,0.09244420,0.00000000,0.00000000,0.09244420,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,8,0,orchestra.paper_cpu.metrics/v7,0.13864688,0.13864688,0.00000000,0.00000000,0,0,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,0.86666667,0.75000000,0.33333333,0.00000000,0.00000000,2,4,3,0,1,0,0,0,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.09244420,0.09244420,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
7,orchestra,0.35802469,0.30321542,0.35802469,0,0.48569843,0.07406658,49.86861800,0.49437980,0.23281236,RUN,2,1,0,1,0,4,0,0.36116018,0.50000000,0.35398516,0.25000000,0.35554840,0.09244420,0.00000000,0.00000000,0.09244420,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,8,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.35398516,0.50000000,1.00000000,4,4,0,0,0,0,0,1.00000000,1,1,1.00000000,35000000,35072922,0,0,1.00000000,1,1,1.00000000,0.00000000,NONE,0.86666667,0.75000000,0.33333333,0.00000000,0.00000000,2,3,3,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.09244420,0.09244420,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
8,orchestra,0.35443038,0.31653131,0.31653131,1,0.70801336,0.05121496,49.79663800,0.49437980,0.23889327,RUN,0,2,1,1,0,4,0,0.57686203,0.00000000,0.78466172,0.25000000,0.00000000,0.09244420,0.00000000,0.00000000,0.09244420,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,8,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.78466172,0.00000000,0.50000000,2,2,0,1,1,1,1,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,1,1,1.00000000,0.00000000,NONE,0.86666667,0.75000000,0.33333333,0.00000000,0.00000000,0,2,3,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.09244420,0.09244420,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
9,orchestra,0.25641026,0.30089984,0.30089984,1,0.62137281,0.06012105,49.83409700,0.49437980,0.23976912,RUN,0,2,1,1,0,4,0,0.24260801,0.00000000,0.78466172,0.25000000,0.00000000,0.09244420,0.00000000,0.00000000,0.09244420,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,12,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.78466172,0.00000000,0.00000000,0,0,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,0.86666667,0.75000000,0.33333333,0.00000000,0.00000000,0,2,3,0,1,0,0,0,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.09244420,0.09244420,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
10,orchestra,0.16455696,0.26545069,0.16455696,0,0.08654108,0.13634287,49.85942400,0.49437980,0.23600851,SLEEP,0,3,1,0,0,4,0,0.05016150,0.75000000,0.65060153,0.75000000,0.36808831,0.09244420,0.00000000,0.00000000,0.09244420,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,12,0,orchestra.paper_cpu.metrics/v7,0.65060153,0.65060153,0.75000000,0.75000000,3,3,0,1,1,1,1,1.00000000,2,2,1.00000000,70000000,70168751,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,1.00000000,0.25000000,1.00000000,1.00000000,0.00000000,3,1,1,1,1,0,0,1,1,1,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.09244420,0.09244420,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
