test,status,details
verifier-attach,PASS,exact target object attached and state enabled
run-generation,PASS,directive/task-state/task-telemetry generation;actual=1:1
run-action,PASS,directive/task-state/task-telemetry action;actual=RUN:RUN:RUN
run-dispatch-counter,PASS,live RUN specialized dispatch delta;actual=32
run-running-delta,PASS,owned task running delta;actual=35
run-effective-delta,PASS,owned task effective delta;actual=35
yield-ownership,FAIL,two exact owned peers not proven
migrate-valid-generation,PASS,directive/task-state/task-telemetry generation;actual=3:3
migrate-valid-action,PASS,directive/task-state/task-telemetry action;actual=MIGRATE:MIGRATE:MIGRATE
migrate-accepted-counter,PASS,validated live MIGRATE accepted delta;actual=34
migrate-dispatched-counter,PASS,validated live MIGRATE dispatched delta;actual=34
migrate-effective-counter,PASS,observed target-CPU running delta;actual=34
migrate-requested-cpu,PASS,task telemetry requested CPU;actual=1
migrate-dispatched-cpu,PASS,task telemetry dispatched CPU;actual=1
migrate-actual-cpu,PASS,task telemetry actual CPU;actual=1
migrate-invalid-cpu,PASS,kernel rejected now-illegal target;actual=42
migrate-invalid-fallback,PASS,illegal target fallback delta;actual=42
migrate-invalid-run,PASS,illegal target actual RUN dispatch delta;actual=42
migrate-invalid-accepted,PASS,illegal target must not increment MIGRATE accepted;actual=0
migrate-invalid-dispatched,PASS,illegal target must not increment MIGRATE dispatched;actual=0
migrate-invalid-state-action,PASS,fallback actual action in state and telemetry;actual=RUN:RUN
sleep-retired-generation,PASS,directive/task-state/task-telemetry generation;actual=5:5
sleep-retired-action,PASS,directive/task-state/task-telemetry action;actual=RUN:RUN:RUN
sleep-accepted,PASS,SLEEP accepted delta;actual=1
sleep-deferred,PASS,SLEEP deferred delta;actual=1
sleep-released,PASS,SLEEP release delta;actual=1
sleep-forward-progress,PASS,task resumed after one-shot SLEEP;actual=37
throttle-immediate-fresh-budget-delay,PASS,new generation did not inherit prior RUN runtime;first_defer_ms=130;actual=130
throttle-immediate-runtime-budget,PASS,charged runtime at first defer;actual=100401754
throttle-immediate-deferred-flags,PASS,deferred+throttled task-state flags;actual=5
throttle-immediate-first-defer-generation,PASS,directive/task-state/task-telemetry generation;actual=7:7
throttle-immediate-first-defer-action,PASS,directive/task-state/task-telemetry action;actual=THROTTLE:THROTTLE:THROTTLE
throttle-immediate-final-generation,PASS,directive/task-state/task-telemetry generation;actual=7:7
throttle-immediate-final-action,PASS,directive/task-state/task-telemetry action;actual=THROTTLE:THROTTLE:THROTTLE
throttle-immediate-deferrals,PASS,THROTTLE deferral delta;actual=2
throttle-immediate-releases,PASS,THROTTLE release delta;actual=1
throttle-immediate-running,PASS,task running continued under THROTTLE;actual=27
throttle-immediate-effective,PASS,deferred release/effective task delta;actual=1
throttle-after-run-fresh-budget-delay,PASS,new generation did not inherit prior RUN runtime;first_defer_ms=145;actual=145
throttle-after-run-runtime-budget,PASS,charged runtime at first defer;actual=101472753
throttle-after-run-deferred-flags,PASS,deferred+throttled task-state flags;actual=5
throttle-after-run-first-defer-generation,PASS,directive/task-state/task-telemetry generation;actual=9:9
throttle-after-run-first-defer-action,PASS,directive/task-state/task-telemetry action;actual=THROTTLE:THROTTLE:THROTTLE
throttle-after-run-final-generation,PASS,directive/task-state/task-telemetry generation;actual=9:9
throttle-after-run-final-action,PASS,directive/task-state/task-telemetry action;actual=THROTTLE:THROTTLE:THROTTLE
throttle-after-run-deferrals,PASS,THROTTLE deferral delta;actual=2
throttle-after-run-releases,PASS,THROTTLE release delta;actual=1
throttle-after-run-running,PASS,task running continued under THROTTLE;actual=33
throttle-after-run-effective,PASS,deferred release/effective task delta;actual=1
throttle-rollover-fresh-budget-delay,PASS,new generation did not inherit prior RUN runtime;first_defer_ms=130;actual=130
throttle-rollover-runtime-budget,PASS,charged runtime at first defer;actual=103529308
throttle-rollover-deferred-flags,PASS,deferred+throttled task-state flags;actual=5
throttle-rollover-first-defer-generation,PASS,directive/task-state/task-telemetry generation;actual=11:11
throttle-rollover-first-defer-action,PASS,directive/task-state/task-telemetry action;actual=THROTTLE:THROTTLE:THROTTLE
throttle-rollover-final-generation,PASS,directive/task-state/task-telemetry generation;actual=11:11
throttle-rollover-final-action,PASS,directive/task-state/task-telemetry action;actual=THROTTLE:THROTTLE:THROTTLE
throttle-rollover-deferrals,PASS,THROTTLE deferral delta;actual=3
throttle-rollover-releases,PASS,THROTTLE release delta;actual=2
throttle-rollover-running,PASS,task running continued under THROTTLE;actual=59
throttle-rollover-effective,PASS,deferred release/effective task delta;actual=2
throttle-republished-generation,PASS,replacement directive generation advanced;actual=1
throttle-republished-final-generation,PASS,directive/task-state/task-telemetry generation;actual=14:14
throttle-republished-final-action,PASS,directive/task-state/task-telemetry action;actual=THROTTLE:THROTTLE:THROTTLE
throttle-republished-deferrals,PASS,old and replacement generations both enforced budget;actual=3
throttle-republished-releases,PASS,deferred task released across replacement generation;actual=2
throttle-republished-running,PASS,new generation resumed accounting after old defer deadline;actual=29
throttle-multi-ownership,FAIL,two exact owned TIDs not proven
final-disabled,PASS,sched_ext state after unload;actual=disabled
kernel-health,PASS,no new critical kernel/sched_ext pattern
