tick,mode,cpu_now,cpu_pred,decision_cpu,prediction_used,confidence,forecast_error,frame_age_ms,mem,thermal,directive,run,sleep,migrate,throttle,yield,eligible_workers,fallback_workers,S1,S2,S3,S4,Q,jitter_sigma,switch_penalty,consensus_blend,next_jitter_sigma,next_switch_penalty,next_consensus_blend,controller_updated,controller_step,controller_reason,controller_beta,jitter_saturated,switch_saturated,consensus_saturated,consensus_applied,rejected_frames,missed_deadlines,metrics_schema,S3_global,S3_conditioned,S2_selected,S2_effective,action_attempt_count,effective_action_success_count,action_error_count,migration_attempt_count,migration_valid_requested_cpu_count,migration_affinity_success_count,migration_observed_success_count,migration_observed_success_fraction,sleep_attempt_count,sleep_effective_success_count,sleep_effectiveness_fraction,requested_sleep_ns_total,observed_sleep_ns_total,yield_attempt_count,yield_call_success_count,yield_call_success_fraction,throttle_attempt_count,throttle_operation_success_count,throttle_operation_success_fraction,fallback_fraction,fallback_reason,S4_burst,change_fraction,dominant_transition_fraction,justified_change_fraction,oscillation_penalty,dominant_old_action,dominant_new_action,changed_eligible_workers,justified_changed_workers,dominant_transition_count,rolling_window_burst_count,rolling_window_oscillation_count,current_directive_valid,previous_directive_valid,directive_transition_valid,large_burst_event,repeated_oscillation_event,controller_state,previous_state,transition_reason,state_residence_time,valid_control_history_count,invalid_frame_fault_count,saturation_bitmask,saturation_direction,saturation_persistence,oscillation_score,oscillation_event,rollback_event,rollback_reason,recovery_progress,last_known_good_available,requested_jitter,applied_jitter,requested_switch,applied_switch,requested_consensus,applied_consensus,update_accepted,update_suppressed,suppression_reason,policy_mode,policy_schema_version,policy_generation,policy_update_allowed,policy_update_applied,policy_update_suppression_reason,policy_exploration_enabled,policy_train_update_count,policy_adapt_update_count,policy_load_status,policy_save_status,policy_digest_prefix,policy_format_version,coordination_semantics_version
1,baseline,0.17948718,0.13852408,0.17948718,0,1.00000000,0.00000000,49.88274900,0.49170360,0.19897436,SLEEP,0,4,0,0,0,4,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.07272289,0.00000000,0.00000000,0.07272289,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,1.00000000,4,4,0,0,0,0,0,1.00000000,4,4,1.00000000,140000000,140375150,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,0.20000000,1.00000000,1.00000000,0.00000000,0.00000000,3,1,4,0,4,1,0,1,0,0,1,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.07272289,0.07272289,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
2,baseline,0.12820513,0.13336460,0.12820513,0,1.00000000,0.00000000,49.89801400,0.49181331,0.19543590,SLEEP,0,4,0,0,0,4,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.07272289,0.00000000,0.00000000,0.07272289,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,0.00000000,0,0,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1,-1,0,0,0,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.07272289,0.07272289,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
3,baseline,0.09876543,0.11606502,0.09876543,0,1.00000000,0.00000000,49.97868000,0.49181823,0.19060237,SLEEP,0,4,0,0,0,4,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.07272289,0.00000000,0.00000000,0.07272289,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,0.00000000,0,0,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1,-1,0,0,0,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.07272289,0.07272289,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
4,baseline,0.09090909,0.10348705,0.09090909,0,1.00000000,0.00000000,50.05519000,0.49173660,0.18561771,SLEEP,0,4,0,0,0,4,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.07272289,0.00000000,0.00000000,0.07272289,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,1.00000000,4,4,0,0,0,0,0,1.00000000,4,4,1.00000000,140000000,140582753,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1,-1,0,0,0,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.07272289,0.07272289,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
5,baseline,0.11392405,0.10870555,0.11392405,0,1.00000000,0.00000000,49.77551700,0.49173660,0.18203303,SLEEP,0,4,0,0,0,4,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.07272289,0.00000000,0.00000000,0.07272289,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,1.00000000,4,4,0,0,0,0,0,1.00000000,4,4,1.00000000,140000000,140463161,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1,-1,0,0,0,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.07272289,0.07272289,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
6,baseline,0.14285714,0.12578135,0.14285714,0,1.00000000,0.00000000,49.89951800,0.49173660,0.18007423,SLEEP,0,4,0,0,0,4,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.07272289,0.00000000,0.00000000,0.07272289,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,0.00000000,0,0,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1,-1,0,0,0,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.07272289,0.07272289,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
7,baseline,0.13580247,0.13079191,0.13580247,0,1.00000000,0.00000000,49.80487400,0.49181269,0.17786064,SLEEP,0,4,0,0,0,4,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.07272289,0.00000000,0.00000000,0.07272289,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,0.00000000,0,0,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1,-1,0,0,0,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.07272289,0.07272289,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
8,baseline,0.20987654,0.17033423,0.20987654,0,1.00000000,0.00000000,49.70148400,0.49181269,0.17946144,RUN,4,0,0,0,0,4,0,1.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.07272289,0.00000000,0.00000000,0.07272289,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,1.00000000,4,4,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,0.84000000,1.00000000,1.00000000,1.00000000,0.00000000,1,0,4,4,4,1,0,1,1,1,1,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.07272289,0.07272289,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
9,baseline,0.51388889,0.34211156,0.51388889,0,1.00000000,0.00000000,49.90844200,0.49181971,0.19618281,RUN,4,0,0,0,0,4,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.07272289,0.00000000,0.00000000,0.07272289,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,1.00000000,4,4,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1,-1,0,0,0,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.07272289,0.07272289,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
10,baseline,0.47435897,0.40823527,0.47435897,0,1.00000000,0.00000000,49.84398300,0.49182611,0.21009162,RUN,4,0,0,0,0,4,0,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,0.07272289,0.00000000,0.00000000,0.07272289,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,1.00000000,4,4,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-1,-1,0,0,0,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.07272289,0.07272289,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
