tick,mode,cpu_now,cpu_pred,decision_cpu,prediction_used,confidence,forecast_error,frame_age_ms,mem,thermal,directive,run,sleep,migrate,throttle,yield,eligible_workers,fallback_workers,S1,S2,S3,S4,Q,jitter_sigma,switch_penalty,consensus_blend,next_jitter_sigma,next_switch_penalty,next_consensus_blend,controller_updated,controller_step,controller_reason,controller_beta,jitter_saturated,switch_saturated,consensus_saturated,consensus_applied,rejected_frames,missed_deadlines,metrics_schema,S3_global,S3_conditioned,S2_selected,S2_effective,action_attempt_count,effective_action_success_count,action_error_count,migration_attempt_count,migration_valid_requested_cpu_count,migration_affinity_success_count,migration_observed_success_count,migration_observed_success_fraction,sleep_attempt_count,sleep_effective_success_count,sleep_effectiveness_fraction,requested_sleep_ns_total,observed_sleep_ns_total,yield_attempt_count,yield_call_success_count,yield_call_success_fraction,throttle_attempt_count,throttle_operation_success_count,throttle_operation_success_fraction,fallback_fraction,fallback_reason,S4_burst,change_fraction,dominant_transition_fraction,justified_change_fraction,oscillation_penalty,dominant_old_action,dominant_new_action,changed_eligible_workers,justified_changed_workers,dominant_transition_count,rolling_window_burst_count,rolling_window_oscillation_count,current_directive_valid,previous_directive_valid,directive_transition_valid,large_burst_event,repeated_oscillation_event,controller_state,previous_state,transition_reason,state_residence_time,valid_control_history_count,invalid_frame_fault_count,saturation_bitmask,saturation_direction,saturation_persistence,oscillation_score,oscillation_event,rollback_event,rollback_reason,recovery_progress,last_known_good_available,requested_jitter,applied_jitter,requested_switch,applied_switch,requested_consensus,applied_consensus,update_accepted,update_suppressed,suppression_reason,policy_mode,policy_schema_version,policy_generation,policy_update_allowed,policy_update_applied,policy_update_suppression_reason,policy_exploration_enabled,policy_train_update_count,policy_adapt_update_count,policy_load_status,policy_save_status,policy_digest_prefix,policy_format_version,coordination_semantics_version
1,orchestra,0.22222222,0.17944444,0.17944444,1,0.81198792,0.09722222,49.93056500,0.48618695,0.20111111,SLEEP,2,1,0,0,1,4,0,0.55037319,0.25000000,0.48804535,0.00000000,0.00000000,0.20000000,0.00000000,0.00000000,0.20000000,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.48804535,0.25000000,1.00000000,4,4,0,0,0,0,0,1.00000000,1,1,1.00000000,35000000,35066191,1,1,1.00000000,0,0,1.00000000,0.00000000,NONE,0.60000000,1.00000000,0.50000000,0.00000000,0.00000000,3,0,4,0,2,0,0,1,0,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
2,orchestra,0.28571429,0.23895556,0.23895556,1,0.77970690,0.10626984,49.89945900,0.48620209,0.20534127,RUN,1,0,0,1,2,4,0,0.50970836,0.25000000,0.70338363,0.50000000,0.46010400,0.20000000,0.00000000,0.00000000,0.20000000,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.70338363,0.25000000,1.00000000,4,4,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,2,2,1.00000000,1,1,1.00000000,0.00000000,NONE,0.93333333,0.50000000,0.50000000,0.00000000,0.00000000,0,3,2,0,1,0,0,1,1,1,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
3,orchestra,0.32098765,0.28489353,0.28489353,1,0.86219547,0.08203210,49.90232400,0.48620209,0.21112359,RUN,1,1,2,0,0,4,0,0.62101399,0.25000000,0.48804535,0.00000000,0.00000000,0.20000000,0.00000000,0.00000000,0.20000000,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.48804535,0.25000000,1.00000000,4,4,0,2,2,2,2,1.00000000,1,1,1.00000000,35000000,35094389,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,0.80000000,1.00000000,0.25000000,0.00000000,0.00000000,0,2,4,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
4,orchestra,0.35802469,0.32584698,0.32584698,1,0.88883646,0.07313116,49.89658800,0.48625418,0.21846864,RUN,2,0,0,1,1,4,0,0.66340696,0.50000000,0.56932344,0.00000000,0.00000000,0.20000000,0.00000000,0.00000000,0.20000000,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.56932344,0.50000000,1.00000000,4,4,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,1,1,1.00000000,1,1,1.00000000,0.00000000,NONE,0.60000000,1.00000000,0.50000000,0.00000000,0.00000000,2,0,4,0,2,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
5,orchestra,0.34210526,0.33495162,0.33495162,1,0.99419262,0.01625828,49.78648800,0.48625455,0.22465048,RUN,3,0,0,0,1,4,0,0.93159469,0.75000000,1.00000000,0.25000000,0.64648294,0.20000000,0.00000000,0.00000000,0.20000000,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.65060153,1.00000000,0.75000000,1.00000000,4,4,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,1,1,1.00000000,0,0,1.00000000,0.00000000,NONE,0.86666667,0.75000000,0.33333333,0.00000000,0.00000000,0,4,3,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
6,orchestra,0.51851852,0.43774908,0.51851852,0,0.47593277,0.18356690,49.83860100,0.48626353,0.23934388,RUN,2,0,2,0,0,4,0,0.22837957,0.50000000,0.70338363,0.25000000,0.37643490,0.20000000,0.00000000,0.00000000,0.20000000,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.56932344,0.70338363,0.50000000,1.00000000,4,4,0,2,2,2,2,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,0.73333333,0.75000000,0.66666667,0.00000000,0.00000000,0,2,3,0,2,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
7,orchestra,0.51219512,0.47943886,0.47943886,1,0.88504424,0.07444604,49.87050800,0.48626353,0.25298644,RUN,3,0,0,1,0,4,0,0.65711134,0.75000000,1.00000000,0.50000000,0.70455931,0.20000000,0.00000000,0.00000000,0.20000000,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.65060153,1.00000000,0.75000000,1.00000000,4,4,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,1,1,1.00000000,0.00000000,NONE,0.93333333,0.50000000,0.50000000,0.00000000,0.00000000,2,0,2,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
8,orchestra,0.47560976,0.47729456,0.47729456,1,0.99967699,0.00382911,49.81330900,0.48626353,0.26411761,RUN,3,0,0,0,1,4,0,0.98448216,0.75000000,0.65060153,0.50000000,0.70006530,0.20000000,0.00000000,0.00000000,0.20000000,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.65060153,0.65060153,0.75000000,1.00000000,4,4,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,1,1,1.00000000,0,0,1.00000000,0.00000000,NONE,0.93333333,0.50000000,0.50000000,0.00000000,0.00000000,0,4,2,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
9,orchestra,0.48148148,0.47963924,0.47963924,1,0.99961381,0.00418692,49.84256700,0.48626353,0.27498580,RUN,2,0,1,1,0,4,0,0.98301202,0.50000000,0.70338363,0.25000000,0.54220719,0.20000000,0.00000000,0.00000000,0.20000000,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.70338363,0.50000000,1.00000000,4,4,0,1,1,1,1,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,1,1,1.00000000,0.00000000,NONE,0.86666667,0.75000000,0.33333333,0.00000000,0.00000000,0,2,3,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
10,orchestra,0.42307692,0.44796434,0.44796434,1,0.93193372,0.05656231,49.82282800,0.48626353,0.28239036,RUN,3,0,0,0,1,4,0,0.74323512,0.75000000,0.65060153,0.50000000,0.65255653,0.20000000,0.00000000,0.00000000,0.20000000,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.65060153,0.65060153,0.75000000,1.00000000,4,4,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,1,1,1.00000000,0,0,1.00000000,0.00000000,NONE,0.93333333,0.50000000,0.50000000,0.00000000,0.00000000,2,0,2,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.20000000,0.20000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
