tick,mode,cpu_now,cpu_pred,decision_cpu,prediction_used,confidence,forecast_error,frame_age_ms,mem,thermal,directive,run,sleep,migrate,throttle,yield,eligible_workers,fallback_workers,S1,S2,S3,S4,Q,jitter_sigma,switch_penalty,consensus_blend,next_jitter_sigma,next_switch_penalty,next_consensus_blend,controller_updated,controller_step,controller_reason,controller_beta,jitter_saturated,switch_saturated,consensus_saturated,consensus_applied,rejected_frames,missed_deadlines,metrics_schema,S3_global,S3_conditioned,S2_selected,S2_effective,action_attempt_count,effective_action_success_count,action_error_count,migration_attempt_count,migration_valid_requested_cpu_count,migration_affinity_success_count,migration_observed_success_count,migration_observed_success_fraction,sleep_attempt_count,sleep_effective_success_count,sleep_effectiveness_fraction,requested_sleep_ns_total,observed_sleep_ns_total,yield_attempt_count,yield_call_success_count,yield_call_success_fraction,throttle_attempt_count,throttle_operation_success_count,throttle_operation_success_fraction,fallback_fraction,fallback_reason,S4_burst,change_fraction,dominant_transition_fraction,justified_change_fraction,oscillation_penalty,dominant_old_action,dominant_new_action,changed_eligible_workers,justified_changed_workers,dominant_transition_count,rolling_window_burst_count,rolling_window_oscillation_count,current_directive_valid,previous_directive_valid,directive_transition_valid,large_burst_event,repeated_oscillation_event,controller_state,previous_state,transition_reason,state_residence_time,valid_control_history_count,invalid_frame_fault_count,saturation_bitmask,saturation_direction,saturation_persistence,oscillation_score,oscillation_event,rollback_event,rollback_reason,recovery_progress,last_known_good_available,requested_jitter,applied_jitter,requested_switch,applied_switch,requested_consensus,applied_consensus,update_accepted,update_suppressed,suppression_reason,policy_mode,policy_schema_version,policy_generation,policy_update_allowed,policy_update_applied,policy_update_suppression_reason,policy_exploration_enabled,policy_train_update_count,policy_adapt_update_count,policy_load_status,policy_save_status,policy_digest_prefix,policy_format_version,coordination_semantics_version
1,orchestra,0.18750000,0.09631579,0.18750000,0,0.24924747,0.10855263,49.78931100,0.49183485,0.19937500,SLEEP,1,1,1,1,0,4,0,0.16145650,0.25000000,0.48804535,0.25000000,0.26491035,0.08437991,0.00000000,0.00000000,0.08437991,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.13864688,0.48804535,0.25000000,1.00000000,4,4,0,1,1,1,1,1.00000000,1,1,1.00000000,35000000,35186414,0,0,1.00000000,1,1,1.00000000,0.00000000,NONE,0.86666667,0.75000000,0.33333333,0.00000000,0.00000000,3,0,3,0,1,0,0,1,0,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.08437991,0.08437991,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
2,orchestra,0.25316456,0.12141159,0.25316456,0,0.05499296,0.15684877,49.95038700,0.49183141,0.20206448,RUN,1,1,0,1,1,4,0,0.02936520,0.25000000,0.48804535,0.00000000,0.00000000,0.08437991,0.00000000,0.00000000,0.08437991,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.13864688,0.48804535,0.25000000,0.75000000,3,3,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,1,1,1.00000000,1,1,1.00000000,0.00000000,NONE,0.84000000,1.00000000,0.25000000,0.25000000,0.00000000,0,4,4,1,1,0,0,1,1,1,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.08437991,0.08437991,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
3,orchestra,0.27500000,0.14598574,0.27500000,0,0.06196300,0.15358841,49.91732200,0.49182069,0.20571125,RUN,2,0,1,1,0,4,0,0.03352139,0.50000000,0.48804535,0.50000000,0.25288936,0.08437991,0.00000000,0.00000000,0.08437991,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.48804535,0.50000000,1.00000000,4,4,0,1,1,1,1,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,1,1,1.00000000,0.00000000,NONE,0.93333333,0.50000000,0.50000000,0.00000000,0.00000000,1,0,2,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.08437991,0.08437991,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
4,orchestra,0.34177215,0.17731156,0.34177215,0,0.01089528,0.19578641,49.87456400,0.49182069,0.21251430,RUN,1,1,0,2,0,4,0,0.00497878,0.25000000,0.48804535,0.50000000,0.13201500,0.08437991,0.00000000,0.00000000,0.08437991,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.48804535,0.25000000,1.00000000,4,4,0,0,0,0,0,1.00000000,1,1,1.00000000,35000000,35107885,0,0,1.00000000,2,2,1.00000000,0.00000000,NONE,0.93333333,0.50000000,0.50000000,0.00000000,0.00000000,0,1,2,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.08437991,0.08437991,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
5,orchestra,0.19230769,0.17971094,0.17971094,1,0.97383434,0.01499613,49.87248900,0.49182069,0.21150397,SLEEP,2,1,0,0,1,4,0,0.91713684,0.25000000,0.70338363,0.25000000,0.44810171,0.08437991,0.00000000,0.00000000,0.08437991,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.70338363,0.25000000,0.75000000,3,3,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,1,1,1.00000000,0,0,1.00000000,0.00000000,NONE,0.90222222,0.75000000,0.33333333,0.33333333,0.00000000,1,0,3,1,1,0,0,1,1,1,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.08437991,0.08437991,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
6,orchestra,0.35365854,0.20754256,0.35365854,0,0.02822842,0.17394759,49.90879000,0.49182069,0.21861170,RUN,1,3,0,0,0,4,0,0.01407695,0.25000000,0.65060153,0.50000000,0.18394306,0.08437991,0.00000000,0.00000000,0.08437991,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.65060153,0.65060153,0.25000000,0.75000000,3,3,0,0,0,0,0,1.00000000,2,2,1.00000000,70000000,70205838,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,0.93333333,0.50000000,0.50000000,0.00000000,0.00000000,0,1,2,0,1,0,0,1,1,1,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.08437991,0.08437991,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
7,orchestra,0.17105263,0.20170417,0.20170417,1,0.85471503,0.03648993,49.86656100,0.49182069,0.21623374,RUN,2,1,1,0,0,4,0,0.73863834,0.50000000,0.70338363,0.50000000,0.60033136,0.08437991,0.00000000,0.00000000,0.08437991,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.70338363,0.50000000,0.75000000,3,3,0,1,1,1,1,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,0.93333333,0.50000000,0.50000000,0.00000000,0.00000000,1,0,2,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.08437991,0.08437991,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
8,orchestra,0.35526316,0.22627361,0.35526316,0,0.06202905,0.15355899,49.83785700,0.49176504,0.22318521,RUN,2,1,0,1,0,4,0,0.03356107,0.50000000,0.35398516,0.25000000,0.19630561,0.08437991,0.00000000,0.00000000,0.08437991,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.35398516,0.50000000,0.75000000,3,3,0,0,0,0,0,1.00000000,1,1,1.00000000,35000000,35062646,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,0.86666667,0.75000000,0.33333333,0.00000000,0.00000000,0,1,3,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.08437991,0.08437991,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
9,orchestra,0.29629630,0.23747724,0.23747724,1,0.56096862,0.07002269,49.71523800,0.49175654,0.22684077,RUN,1,0,1,1,1,4,0,0.42393249,0.25000000,0.48804535,0.25000000,0.33721682,0.08437991,0.00000000,0.00000000,0.08437991,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.13864688,0.48804535,0.25000000,1.00000000,4,4,0,1,1,1,1,1.00000000,0,0,1.00000000,0,0,1,1,1.00000000,1,1,1.00000000,0.00000000,NONE,0.86666667,0.75000000,0.33333333,0.00000000,0.00000000,0,3,3,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.08437991,0.08437991,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
10,orchestra,0.32098765,0.25083891,0.32098765,0,0.43944550,0.08351042,49.87416100,0.49175950,0.23154811,RUN,3,0,0,0,1,4,0,0.31465350,0.75000000,0.70338363,0.25000000,0.45134281,0.08437991,0.00000000,0.00000000,0.08437991,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.65060153,0.70338363,0.75000000,1.00000000,4,4,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,1,1,1.00000000,0,0,1.00000000,0.00000000,NONE,0.86666667,0.75000000,0.33333333,0.00000000,0.00000000,2,4,3,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.08437991,0.08437991,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
