tick,mode,cpu_now,cpu_pred,decision_cpu,prediction_used,confidence,forecast_error,frame_age_ms,mem,thermal,directive,run,sleep,migrate,throttle,yield,eligible_workers,fallback_workers,S1,S2,S3,S4,Q,jitter_sigma,switch_penalty,consensus_blend,next_jitter_sigma,next_switch_penalty,next_consensus_blend,controller_updated,controller_step,controller_reason,controller_beta,jitter_saturated,switch_saturated,consensus_saturated,consensus_applied,rejected_frames,missed_deadlines,metrics_schema,S3_global,S3_conditioned,S2_selected,S2_effective,action_attempt_count,effective_action_success_count,action_error_count,migration_attempt_count,migration_valid_requested_cpu_count,migration_affinity_success_count,migration_observed_success_count,migration_observed_success_fraction,sleep_attempt_count,sleep_effective_success_count,sleep_effectiveness_fraction,requested_sleep_ns_total,observed_sleep_ns_total,yield_attempt_count,yield_call_success_count,yield_call_success_fraction,throttle_attempt_count,throttle_operation_success_count,throttle_operation_success_fraction,fallback_fraction,fallback_reason,S4_burst,change_fraction,dominant_transition_fraction,justified_change_fraction,oscillation_penalty,dominant_old_action,dominant_new_action,changed_eligible_workers,justified_changed_workers,dominant_transition_count,rolling_window_burst_count,rolling_window_oscillation_count,current_directive_valid,previous_directive_valid,directive_transition_valid,large_burst_event,repeated_oscillation_event,controller_state,previous_state,transition_reason,state_residence_time,valid_control_history_count,invalid_frame_fault_count,saturation_bitmask,saturation_direction,saturation_persistence,oscillation_score,oscillation_event,rollback_event,rollback_reason,recovery_progress,last_known_good_available,requested_jitter,applied_jitter,requested_switch,applied_switch,requested_consensus,applied_consensus,update_accepted,update_suppressed,suppression_reason,policy_mode,policy_schema_version,policy_generation,policy_update_allowed,policy_update_applied,policy_update_suppression_reason,policy_exploration_enabled,policy_train_update_count,policy_adapt_update_count,policy_load_status,policy_save_status,policy_digest_prefix,policy_format_version,coordination_semantics_version
1,orchestra,0.15584416,0.12534051,0.12534051,1,0.79905872,0.03389294,49.63772400,0.48281052,0.19779221,SLEEP,1,1,1,1,0,4,0,0.69775127,0.25000000,0.13864688,0.25000000,0.27885131,0.07590155,0.00000000,0.00000000,0.07590155,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.13864688,0.13864688,0.25000000,1.00000000,4,4,0,1,1,1,1,1.00000000,1,1,1.00000000,35000000,35100103,0,0,1.00000000,1,1,1.00000000,0.00000000,NONE,0.86666667,0.75000000,0.33333333,0.00000000,0.00000000,3,0,3,0,1,0,0,1,0,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.07590155,0.07590155,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
2,orchestra,0.27848101,0.14065456,0.27848101,0,0.01025859,0.15314050,49.88808400,0.48281052,0.20182665,RUN,2,0,1,0,1,4,0,0.00555975,0.50000000,0.35398516,0.50000000,0.14893442,0.07590155,0.00000000,0.00000000,0.07590155,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.35398516,0.50000000,1.00000000,4,4,0,1,1,1,1,1.00000000,0,0,1.00000000,0,0,1,1,1.00000000,0,0,1.00000000,0.00000000,NONE,0.96000000,0.50000000,0.50000000,0.50000000,0.00000000,1,0,2,1,1,0,0,1,1,1,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.07590155,0.07590155,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
3,orchestra,0.46153846,0.17274295,0.46153846,0,0.00000000,0.32088390,49.92884500,0.48284142,0.21481224,RUN,2,1,0,1,0,4,0,0.00000000,0.50000000,0.35398516,0.50000000,0.00000000,0.07590155,0.00000000,0.00000000,0.07590155,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.35398516,0.50000000,1.00000000,4,4,0,0,0,0,0,1.00000000,1,1,1.00000000,35000000,35076374,0,0,1.00000000,1,1,1.00000000,0.00000000,NONE,0.93333333,0.50000000,0.50000000,0.00000000,0.00000000,2,3,2,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.07590155,0.07590155,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
4,orchestra,0.38750000,0.19421866,0.38750000,0,0.00012264,0.21475705,49.88820500,0.48284992,0.22344663,RUN,2,0,0,1,1,4,0,0.00005195,0.50000000,0.35398516,0.50000000,0.04630497,0.07590155,0.00000000,0.00000000,0.07590155,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.35398516,0.50000000,1.00000000,4,4,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,1,1,1.00000000,1,1,1.00000000,0.00000000,NONE,0.93333333,0.50000000,0.50000000,0.00000000,0.00000000,1,3,2,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.07590155,0.07590155,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
5,orchestra,0.36363636,0.21116043,0.36363636,0,0.00367974,0.16941771,49.81318700,0.48285731,0.23045611,RUN,2,0,1,0,1,4,0,0.00186857,0.50000000,0.35398516,0.50000000,0.11339884,0.07590155,0.00000000,0.00000000,0.07590155,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.35398516,0.50000000,1.00000000,4,4,0,1,1,1,1,1.00000000,0,0,1.00000000,0,0,1,1,1.00000000,0,0,1.00000000,0.00000000,NONE,0.93333333,0.50000000,0.50000000,0.00000000,0.00000000,3,4,2,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.07590155,0.07590155,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
6,orchestra,0.48101266,0.23814565,0.48101266,0,0.00000067,0.26985223,49.87603200,0.48279439,0.24298394,RUN,3,0,1,0,0,4,0,0.00000023,0.75000000,0.65060153,0.50000000,0.01539106,0.07590155,0.00000000,0.00000000,0.07590155,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.65060153,0.65060153,0.75000000,1.00000000,4,4,0,1,1,1,1,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,0.93333333,0.50000000,0.50000000,0.00000000,0.00000000,2,0,2,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.07590155,0.07590155,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
7,orchestra,0.53333333,0.26766442,0.53333333,0,0.00000004,0.29518768,49.82607300,0.48279426,0.25750141,RUN,3,0,0,1,0,4,0,0.00000001,0.75000000,0.65060153,0.50000000,0.00702808,0.07590155,0.00000000,0.00000000,0.07590155,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.65060153,0.65060153,0.75000000,1.00000000,4,4,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,1,1,1.00000000,0.00000000,NONE,0.93333333,0.50000000,0.50000000,0.00000000,0.00000000,0,3,2,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.07590155,0.07590155,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
8,orchestra,0.65822785,0.30672076,0.65822785,0,0.00000000,0.39056343,49.76516900,0.48214488,0.27753773,RUN,3,0,1,0,0,4,0,0.00000000,0.75000000,0.65060153,0.75000000,0.00000000,0.07590155,0.00000000,0.00000000,0.07590155,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.65060153,0.65060153,0.75000000,1.00000000,4,4,0,1,1,1,1,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,1.00000000,0.25000000,1.00000000,0.00000000,0.00000000,3,2,1,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.07590155,0.07590155,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
9,orchestra,0.70000000,0.34604869,0.70000000,0,0.00000000,0.39327924,49.81122000,0.48221618,0.29866085,YIELD,1,1,0,2,0,4,0,0.00000000,0.00000000,0.35398516,0.25000000,0.00000000,0.07590155,0.00000000,0.00000000,0.07590155,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.35398516,0.00000000,1.00000000,4,4,0,0,0,0,0,1.00000000,1,1,1.00000000,35000000,35106291,0,0,1.00000000,2,2,1.00000000,0.00000000,NONE,0.86666667,0.75000000,0.33333333,0.00000000,0.00000000,0,1,3,0,1,0,0,1,1,1,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.07590155,0.07590155,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
10,orchestra,0.46913580,0.35835740,0.46913580,0,0.05189499,0.12308712,49.77312300,0.48227355,0.30718459,RUN,2,2,0,0,0,4,0,0.03171766,0.50000000,0.56932344,0.25000000,0.21796791,0.07590155,0.00000000,0.00000000,0.07590155,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.56932344,0.56932344,0.50000000,0.75000000,3,3,0,0,0,0,0,1.00000000,1,1,1.00000000,35000000,35089465,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,0.87555556,0.75000000,0.66666667,0.66666667,0.00000000,3,0,3,2,2,0,0,1,1,1,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.07590155,0.07590155,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
11,orchestra,0.47435897,0.36995756,0.47435897,0,0.07224302,0.11600158,49.78499800,0.48225435,0.31554331,RUN,3,0,0,1,0,4,0,0.04542349,0.75000000,0.65060153,0.25000000,0.27283445,0.07590155,0.00000000,0.00000000,0.07590155,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.65060153,0.65060153,0.75000000,1.00000000,4,4,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,1,1,1.00000000,0.00000000,NONE,0.73333333,0.75000000,0.66666667,0.00000000,0.00000000,1,0,3,0,2,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.07590155,0.07590155,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
12,orchestra,0.55128205,0.38809000,0.55128205,0,0.00162795,0.18132450,49.81339500,0.48236615,0.32733025,RUN,3,0,0,0,1,4,0,0.00078822,0.75000000,0.65060153,0.50000000,0.11776018,0.07590155,0.00000000,0.00000000,0.07590155,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.65060153,0.65060153,0.75000000,1.00000000,4,4,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,1,1,1.00000000,0,0,1.00000000,0.00000000,NONE,0.93333333,0.50000000,0.50000000,0.00000000,0.00000000,0,4,2,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.07590155,0.07590155,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
13,orchestra,0.64197531,0.41347854,0.64197531,0,0.00000342,0.25388530,49.76356400,0.48248127,0.34306250,RUN,0,1,0,2,1,4,0,0.00000124,0.00000000,0.78466172,0.00000000,0.00000000,0.07590155,0.00000000,0.00000000,0.07590155,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.78466172,0.00000000,1.00000000,4,4,0,0,0,0,0,1.00000000,1,1,1.00000000,35000000,35105101,1,1,1.00000000,2,2,1.00000000,0.00000000,NONE,0.80000000,1.00000000,0.25000000,0.00000000,0.00000000,0,1,4,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.07590155,0.07590155,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
