tick,mode,cpu_now,cpu_pred,decision_cpu,prediction_used,confidence,forecast_error,frame_age_ms,mem,thermal,directive,run,sleep,migrate,throttle,yield,eligible_workers,fallback_workers,S1,S2,S3,S4,Q,jitter_sigma,switch_penalty,consensus_blend,next_jitter_sigma,next_switch_penalty,next_consensus_blend,controller_updated,controller_step,controller_reason,controller_beta,jitter_saturated,switch_saturated,consensus_saturated,consensus_applied,rejected_frames,missed_deadlines,metrics_schema,S3_global,S3_conditioned,S2_selected,S2_effective,action_attempt_count,effective_action_success_count,action_error_count,migration_attempt_count,migration_valid_requested_cpu_count,migration_affinity_success_count,migration_observed_success_count,migration_observed_success_fraction,sleep_attempt_count,sleep_effective_success_count,sleep_effectiveness_fraction,requested_sleep_ns_total,observed_sleep_ns_total,yield_attempt_count,yield_call_success_count,yield_call_success_fraction,throttle_attempt_count,throttle_operation_success_count,throttle_operation_success_fraction,fallback_fraction,fallback_reason,S4_burst,change_fraction,dominant_transition_fraction,justified_change_fraction,oscillation_penalty,dominant_old_action,dominant_new_action,changed_eligible_workers,justified_changed_workers,dominant_transition_count,rolling_window_burst_count,rolling_window_oscillation_count,current_directive_valid,previous_directive_valid,directive_transition_valid,large_burst_event,repeated_oscillation_event,controller_state,previous_state,transition_reason,state_residence_time,valid_control_history_count,invalid_frame_fault_count,saturation_bitmask,saturation_direction,saturation_persistence,oscillation_score,oscillation_event,rollback_event,rollback_reason,recovery_progress,last_known_good_available,requested_jitter,applied_jitter,requested_switch,applied_switch,requested_consensus,applied_consensus,update_accepted,update_suppressed,suppression_reason,policy_mode,policy_schema_version,policy_generation,policy_update_allowed,policy_update_applied,policy_update_suppression_reason,policy_exploration_enabled,policy_train_update_count,policy_adapt_update_count,policy_load_status,policy_save_status,policy_digest_prefix,policy_format_version,coordination_semantics_version
1,orchestra,0.23170732,0.28170732,0.28170732,1,0.83844293,0.06097561,49.87419000,0.49104646,0.20158537,RUN,4,0,0,0,0,4,0,0.65697376,1.00000000,1.00000000,0.00000000,0.00000000,0.15407021,0.00000000,0.00000000,0.15407021,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,1.00000000,1.00000000,1.00000000,1.00000000,4,4,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,0.20000000,1.00000000,1.00000000,0.00000000,0.00000000,3,0,4,0,4,1,0,1,0,0,1,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.15407021,0.15407021,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
2,orchestra,0.48051948,0.31749351,0.48051948,0,0.15362003,0.19881216,49.90778700,0.49104646,0.21553207,RUN,1,1,1,1,0,4,0,0.06935468,0.25000000,0.13864688,0.25000000,0.15657286,0.15407021,0.00000000,0.00000000,0.15407021,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,0,0,orchestra.paper_cpu.metrics/v7,0.13864688,0.13864688,0.25000000,1.00000000,4,4,0,1,1,1,1,1.00000000,1,1,1.00000000,35000000,35069367,0,0,1.00000000,1,1,1.00000000,0.00000000,NONE,0.86666667,0.75000000,0.33333333,0.00000000,0.00000000,0,1,3,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.15407021,0.15407021,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
3,orchestra,0.36585366,0.32619833,0.32619833,1,0.89508333,0.04836015,49.89092800,0.49104092,0.22304815,RUN,1,1,1,1,0,4,0,0.36630862,0.00000000,0.13864688,0.25000000,0.00000000,0.15407021,0.00000000,0.00000000,0.15407021,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,4,0,orchestra.paper_cpu.metrics/v7,0.13864688,0.13864688,0.00000000,0.00000000,0,0,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,0.86666667,0.75000000,0.33333333,0.00000000,0.00000000,0,1,3,0,1,0,0,0,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.15407021,0.15407021,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
4,orchestra,0.25000000,0.31248263,0.31248263,1,0.75944058,0.07619833,49.88140600,0.49104831,0.22439574,RUN,1,0,1,1,1,4,0,0.55991710,0.25000000,0.48804535,0.25000000,0.36150639,0.15407021,0.00000000,0.00000000,0.15407021,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,4,0,orchestra.paper_cpu.metrics/v7,0.13864688,0.48804535,0.25000000,1.00000000,4,4,0,1,1,1,1,1.00000000,0,0,1.00000000,0,0,1,1,1.00000000,1,1,1.00000000,0.00000000,NONE,0.86666667,0.75000000,0.33333333,0.00000000,0.00000000,1,4,3,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.15407021,0.15407021,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
5,orchestra,0.37037037,0.32290243,0.32290243,1,0.85315518,0.05788774,49.88039100,0.49104831,0.23169447,RUN,2,1,1,0,0,4,0,0.67680994,0.50000000,0.78466172,0.25000000,0.50759204,0.15407021,0.00000000,0.00000000,0.15407021,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,4,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.78466172,0.50000000,1.00000000,4,4,0,1,1,1,1,1.00000000,1,1,1.00000000,35000000,35101041,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,0.86666667,0.75000000,0.33333333,0.00000000,0.00000000,2,1,3,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.15407021,0.15407021,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
6,orchestra,0.37974684,0.33313442,0.33313442,1,0.85800897,0.05684441,49.91197500,0.49104831,0.23909709,RUN,2,1,1,0,0,4,0,0.33941954,0.00000000,0.78466172,0.25000000,0.00000000,0.15407021,0.00000000,0.00000000,0.15407021,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,8,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.78466172,0.00000000,0.00000000,0,0,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,0.86666667,0.75000000,0.33333333,0.00000000,0.00000000,2,1,3,0,1,0,0,0,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.15407021,0.15407021,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
7,orchestra,0.37500000,0.34067022,0.34067022,1,0.92028933,0.04186558,49.82612800,0.49104831,0.24589224,RUN,2,0,1,0,1,4,0,0.77838853,0.50000000,0.70338363,0.25000000,0.51147531,0.15407021,0.00000000,0.00000000,0.15407021,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,8,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.70338363,0.50000000,1.00000000,4,4,0,1,1,1,1,1.00000000,0,0,1.00000000,0,0,1,1,1.00000000,0,0,1.00000000,0.00000000,NONE,0.86666667,0.75000000,0.33333333,0.00000000,0.00000000,0,2,3,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.15407021,0.15407021,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
8,orchestra,0.48101266,0.36593186,0.48101266,0,0.39319304,0.14034243,49.86961900,0.49115654,0.25764826,RUN,1,1,2,0,0,4,0,0.22428801,0.25000000,0.70338363,0.50000000,0.37473744,0.15407021,0.00000000,0.00000000,0.15407021,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,8,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.70338363,0.25000000,1.00000000,4,4,0,2,2,2,2,1.00000000,1,1,1.00000000,35000000,35085365,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,0.93333333,0.50000000,0.50000000,0.00000000,0.00000000,0,1,2,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.15407021,0.15407021,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
9,orchestra,0.39506173,0.37117524,0.37117524,1,0.96058253,0.02912987,49.83674000,0.49105520,0.26451893,RUN,1,1,2,0,0,4,0,0.42454603,0.00000000,0.70338363,0.50000000,0.00000000,0.15407021,0.00000000,0.00000000,0.15407021,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,12,0,orchestra.paper_cpu.metrics/v7,0.35398516,0.70338363,0.00000000,0.00000000,0,0,0,0,0,0,0,1.00000000,0,0,1.00000000,0,0,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,0.93333333,0.50000000,0.50000000,0.00000000,0.00000000,0,1,2,0,1,0,0,0,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.15407021,0.15407021,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
10,orchestra,0.37804878,0.37241248,0.37241248,1,0.99776339,0.00687354,49.92396300,0.49105520,0.27019542,RUN,3,1,0,0,0,4,0,0.97070440,0.75000000,0.65060153,0.25000000,0.58661186,0.15407021,0.00000000,0.00000000,0.15407021,0.00000000,0.00000000,0,0,NONE,0.00000000,0,0,0,0,12,0,orchestra.paper_cpu.metrics/v7,0.65060153,0.65060153,0.75000000,1.00000000,4,4,0,0,0,0,0,1.00000000,1,1,1.00000000,35000000,35100222,0,0,1.00000000,0,0,1.00000000,0.00000000,NONE,0.86666667,0.75000000,0.33333333,0.00000000,0.00000000,1,0,3,0,1,0,0,1,1,0,0,0,NORMAL,NORMAL,NONE,0,0,0,0,0,0,0.00000000,0,0,NONE,0.00000000,0,0.15407021,0.15407021,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,TRAIN,1,0,1,0,NONE,1,0,0,SKIP,OK,0000000000000000,1,7
