run_id,publication_mode,readers,repetition,seed,publisher_attempts_per_sec,publisher_successes_per_sec,publisher_mean_latency_ns,publisher_max_latency_ns,publisher_success_fraction,publisher_contention_fraction,publisher_contention_count,publisher_generation_exhaustion_count,reader_api_calls_per_aggregate_thread_sec,reader_valid_reads_per_aggregate_thread_sec,reader_api_mean_latency_ns,reader_api_max_latency_ns,reader_snapshot_copy_success_fraction,reader_snapshot_copy_empty_fraction,reader_snapshot_copy_unstable_fraction,reader_snapshot_copy_mean_latency_ns,reader_snapshot_copy_max_latency_ns,reader_verified_frame_mean_latency_ns,reader_verified_frame_max_latency_ns,reader_valid_fraction,reader_retry_fraction,reader_unstable_fraction,reader_retry_exhaustion_count,reader_unstable_slot_observation_count,reader_invalid_frame_count,reader_hmac_failure_count,reader_invalid_fields_count,reader_invalid_schema_count,reader_invalid_tier_count,reader_invalid_source_count,reader_invalid_directive_count,reader_invalid_sequence_count,reader_stale_frame_count,reader_invalid_key_epoch_count
rep_01_readers_1_legacy,legacy,1,1,20261829,163579.0306731948,163579.0306731948,5990.798,22493,1.0,0.0,0,0,171427.83370290822,159498.15604770105,5573.316491897045,20854,0.990467111534795,0.0,0.009532888465204958,170.62560153994224,590,5973.774590163935,20854,0.9304099142040038,0.07054337464251668,0.0,0,74,0,0,0,0,0,0,0,0,0,0
rep_01_readers_1_generation_stamped,generation_stamped,1,1,20261829,160438.85803471383,160438.85803471383,6081.481,24714,1.0,0.0,0,0,158634.7032161023,150943.32366623066,5843.3050505050505,18449,1.0,0.0,0.0,369.920202020202,939,6122.434182590234,18449,0.9515151515151515,0.015151515151515152,0.0,0,15,0,0,0,0,0,0,0,0,0,0
rep_01_readers_2_legacy,legacy,2,1,20261830,162664.41712622077,162664.41712622077,6019.702,50356,1.0,0.0,0,0,159913.547601244,156583.70735154822,5987.5134586084305,50459,0.9918740477399696,0.0,0.008125952260030472,145.2457757296467,532,6109.415975103734,50459,0.979177247333672,0.04266124936515998,0.0,0,84,0,0,0,0,0,0,0,0,0,0
rep_01_readers_2_generation_stamped,generation_stamped,2,1,20261830,157941.03018932234,157941.03018932234,6194.071,18923,1.0,0.0,0,0,160995.1152994533,145392.06447747984,5739.640234948605,19477,1.0,0.0,0.0,350.9593734703867,861,6308.0455284552845,19477,0.9030837004405287,0.01566324033284386,0.0,0,32,0,0,0,0,0,0,0,0,0,0
rep_01_readers_4_legacy,legacy,4,1,20261832,86318.5227724232,86318.5227724232,11414.762,57277,1.0,0.0,0,0,691875.6927489737,86185.28201195649,1221.8284040265528,59780,0.942313086296631,0.0,0.05768691370336897,126.59723508400582,8599,8229.685764323242,59780,0.12456758188674541,0.2220837099136722,0.0014024371240689375,45,7126,0,0,0,0,0,0,0,0,0,0
rep_01_readers_4_generation_stamped,generation_stamped,4,1,20261832,88224.13376472582,88224.13376472582,11170.617,25965,1.0,0.0,0,0,321896.13235110545,86978.70991185849,2543.740537950859,45931,1.0,0.0,0.0,420.1800698104168,5524,8074.256585612969,45931,0.27020737800287453,0.02984053110670043,0.0,0,436,0,0,0,0,0,0,0,0,0,0
rep_02_readers_1_legacy,legacy,1,2,20262829,159512.42793228506,159512.42793228506,6139.139,32739,1.0,0.0,0,0,160987.00479776307,154139.88194286314,5931.06824925816,48214,0.990108803165183,0.0,0.009891196834817012,176.94905094905096,870,6183.894628099173,48214,0.9574678536102869,0.03857566765578635,0.0,0,39,0,0,0,0,0,0,0,0,0,0
rep_02_readers_1_generation_stamped,generation_stamped,1,2,20262829,160563.15277953283,160563.15277953283,6094.02,27765,1.0,0.0,0,0,150250.1416312034,149769.08461424118,6182.499466382071,28242,1.0,0.0,0.0,361.5592315901814,611,6201.189507494647,28242,0.9967982924226254,0.0064034151547491995,0.0,0,6,0,0,0,0,0,0,0,0,0,0
rep_02_readers_2_legacy,legacy,2,2,20262830,160852.28548578356,160852.28548578356,6088.039,19150,1.0,0.0,0,0,168465.87092639608,154654.5602498755,5666.481410867493,26174,0.9899904671115348,0.0,0.010009532888465206,158.48338950409243,675,6152.356697819315,26174,0.9180171591992373,0.07102001906577693,0.0009532888465204957,2,149,0,0,0,0,0,0,0,0,0,0
rep_02_readers_2_generation_stamped,generation_stamped,2,2,20262830,161782.63758440403,161782.63758440403,6051.884,14090,1.0,0.0,0,0,150562.67653776563,150078.29259179963,6168.23109919571,23738,1.0,0.0,0.0,351.98820375335123,773,6186.691231845078,23738,0.9967828418230563,0.006434316353887399,0.0,0,12,0,0,0,0,0,0,0,0,0,0
rep_02_readers_4_legacy,legacy,4,2,20262832,38776.49457309386,38776.49457309386,25396.613,91422,1.0,0.0,0,0,228283.4149206637,38720.681099493704,3751.4918714716246,115633,0.9627743113035359,0.0,0.0372256886964642,338.02319019486816,9510,19257.2505005005,115633,0.16961670699095888,0.10547985907721041,0.0,0,2485,0,0,0,0,0,0,0,0,0,0
rep_02_readers_4_generation_stamped,generation_stamped,4,2,20262832,84961.4856841171,84961.4856841171,11589.444,30391,1.0,0.0,0,0,316638.2278039181,83706.76120776546,2599.1153562571217,48972,1.0,0.0,0.0,424.71988739191636,18426,8383.442190669371,48972,0.26436088209665526,0.034720825792613444,0.0,0,518,0,0,0,0,0,0,0,0,0,0
